issue_year,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,income_band,verification_status,purpose,addr_state,dti,dti_band,fico,revol_util,delinq_2yrs,loan_status,is_default,risk_score,risk_segment
2015,3600.00,36,13.99,123.03,C,C4,10.0,MORTGAGE,55000.00,40-70k,"Not Verified",debt_consolidation,PA,5.91,0-10,677.0,29.70,0,"Fully Paid",0,2,Medium
2015,24700.00,36,11.99,820.28,C,C1,10.0,MORTGAGE,65000.00,40-70k,"Not Verified",small_business,SD,16.06,10-20,717.0,19.20,1,"Fully Paid",0,2,Medium
2015,20000.00,60,10.78,432.66,B,B4,10.0,MORTGAGE,63000.00,40-70k,"Not Verified",home_improvement,IL,10.78,10-20,697.0,56.20,0,"Fully Paid",0,0,Low
2015,10400.00,60,22.45,289.91,F,F1,3.0,MORTGAGE,104433.00,100-150k,"Source Verified",major_purchase,PA,25.37,20-30,697.0,64.50,1,"Fully Paid",0,5,High
2015,11950.00,36,13.44,405.18,C,C3,4.0,RENT,34000.00,<40k,"Source Verified",debt_consolidation,GA,10.20,10-20,692.0,68.40,0,"Fully Paid",0,2,Medium
2015,20000.00,36,9.17,637.58,B,B2,10.0,MORTGAGE,180000.00,150k+,"Not Verified",debt_consolidation,MN,14.67,10-20,682.0,84.50,0,"Fully Paid",0,1,Low
2015,20000.00,36,8.49,631.26,B,B1,10.0,MORTGAGE,85000.00,70-100k,"Not Verified",major_purchase,SC,17.61,10-20,707.0,5.70,1,"Fully Paid",0,1,Low
2015,10000.00,36,6.49,306.45,A,A2,6.0,RENT,85000.00,70-100k,"Not Verified",credit_card,PA,13.07,10-20,687.0,34.50,0,"Fully Paid",0,0,Low
2015,8000.00,36,11.48,263.74,B,B5,10.0,MORTGAGE,42000.00,40-70k,"Not Verified",credit_card,RI,34.80,30-40,702.0,39.10,0,"Fully Paid",0,1,Low
2015,1400.00,36,12.88,47.10,C,C2,3.0,MORTGAGE,64000.00,40-70k,"Not Verified",other,NC,34.95,30-40,702.0,67.20,0,"Fully Paid",0,3,Medium
